en_sentence,zh_sentence
"Tuberculosis (TB) is an infectious disease caused by bacteria that most often affects the lungs.","结核病是一种由最常侵袭肺部的细菌引起的传染病。"
"It spreads through the air when people with TB cough, sneeze or spit.","结核病通过空气在人们咳嗽、打喷嚏或吐痰时传播。"
"Tuberculosis is preventable and curable.","结核病是可以预防和治愈的。"
"About a quarter of the global population is estimated to have been infected with TB bacteria.","据估计，全球约有四分之一的人口已感染结核菌。"
"About 5–10% of people infected with TB will eventually get symptoms and develop TB disease.","约5-10%的结核菌感染者最终会出现症状并发展为结核病。"
"Those who are infected but free of disease cannot transmit it.","已感染但未发病的人不能传播此病。"
"TB disease is usually treated with antibiotics and can be fatal without treatment.","结核病通常用抗生素治疗，如不治疗可能会是致命的。"
"A total of 1.3 million people died from TB in 2022 (including 167 000 people with HIV).","2022年总共有130万人死于结核病（其中包括16.7万名艾滋病毒感染者）。"
"Worldwide, TB is the second leading infectious killer after COVID-19.","在世界范围内，结核病是继COVID-19之后的第二大传染病杀手。"
"In 2022, an estimated 10.6 million people fell ill with tuberculosis (TB) worldwide.","2022年，全球估计有1060万人罹患结核病。"
"This includes 5.8 million men, 3.5 million women and 1.3 million children.","其中包括580万名男性、350万名女性和130万名儿童。"
"TB is present in all countries and age groups.","所有国家和所有年龄组都有结核病。"
"Multidrug-resistant TB (MDR-TB) remains a public health crisis and a health security threat.","耐多药结核病仍然是一项公共卫生危机和卫生安全威胁。"
"Global efforts to combat TB have saved an estimated 75 million lives since the year 2000.","自2000年以来，全球抗击结核病的努力估计已挽救了7500万人的生命。"
"Ending the TB epidemic by 2030 is among the health targets of the United Nations Sustainable Development Goals.","到2030年终止结核病流行是联合国可持续发展目标的卫生相关具体目标之一。"
"Common symptoms of active lung TB are cough with sputum and blood at times, chest pains, weakness, weight loss, fever and night sweats.","活动性肺结核的常见症状是咳嗽，有时伴有痰和血、胸痛、虚弱、体重减轻、发烧和盗汗。"
"WHO recommends the use of rapid molecular diagnostic tests as the initial diagnostic test in all persons with signs and symptoms of TB.","世卫组织建议对所有有结核病体征和症状者采用快速分子诊断检测作为初始诊断检测。"
"People with compromised immune systems, such as people living with HIV, malnutrition or diabetes, have a much higher risk of falling ill.","免疫系统受损者，例如艾滋病毒感染者、营养不良或糖尿病患者，其发病风险要高得多。"
"Tobacco use greatly increases the risk of TB disease and death.","吸烟会大大增加罹患结核病和死于结核病的风险。"
"Globally, TB incidence is falling at about 2% per year.","在全球范围内，结核病发病率正以每年约2%的速度下降。"
"Malaria is a life-threatening disease caused by parasites that are transmitted to people through the bites of infected female Anopheles mosquitoes.","疟疾是一种由寄生虫引起的危及生命的疾病，通过受感染的雌性按蚊叮咬传播给人类。"
"It is preventable and curable.","它是可以预防和治愈的。"
"In 2022, nearly half of the world's population was at risk of malaria.","2022年，全世界有近一半人口面临疟疾风险。"
"There were an estimated 249 million cases of malaria in 2022 and the estimated number of malaria deaths stood at 608 000.","2022年，估计有2.49亿例疟疾病例，估计有60.8万例疟疾死亡。"
"The WHO African Region carries a disproportionately high share of the global malaria burden.","世卫组织非洲区域在全球疟疾负担中所占的比例过高。"
"In 2022, the Region was home to 94% of malaria cases and 95% of malaria deaths.","2022年，该区域的疟疾病例和死亡人数分别占全球的94%和95%。"
"Children under 5 years of age are the population group at highest risk of dying of malaria.","5岁以下儿童是死于疟疾风险最高的人群。"
"In 2022, they accounted for nearly 80% of all malaria deaths in the WHO African Region.","2022年，他们占世卫组织非洲区域所有疟疾死亡人数的近80%。"
"There are 5 parasite species that cause malaria in humans, and 2 of these species – P. falciparum and P. vivax – pose the greatest threat.","有5种寄生虫会引起人类疟疾，其中2种——恶性疟原虫和间日疟原虫——构成的威胁最大。"
"The first symptoms – fever, headache, and chills – usually appear 10–15 days after the infective mosquito bite.","最初的症状（发烧、头痛和寒战）通常在被受感染的蚊子叮咬后10-15天出现。"
"Left untreated, P. falciparum malaria can progress to severe illness and death within a period of 24 hours.","如果不加治疗，恶性疟可能在24小时内发展成重症，甚至导致死亡。"
"Early diagnosis and treatment of malaria reduces disease and prevents deaths.","早期诊断和治疗疟疾可减少疾病并防止死亡。"
"It also contributes to reducing malaria transmission.","它还有助于减少疟疾传播。"
"The best available treatment is artemisinin-based combination therapy (ACT).","现有最佳治疗方法是青蒿素类复方疗法。"
"Vector control is a vital component of malaria control and elimination strategies.","病媒控制是控制和消除疟疾战略的重要组成部分。"
"Two key interventions are the use of insecticide-treated nets and indoor residual spraying.","两项关键干预措施是使用药浸蚊帐和室内滞留喷洒。"
"WHO recommends that all people at risk of malaria in an area with ongoing transmission use insecticide-treated nets.","世卫组织建议，在持续传播地区所有面临疟疾风险的人都使用药浸蚊帐。"
"On 30 June 2021, WHO granted China a malaria-free certification.","2021年6月30日，世卫组织宣布中国获得无疟疾认证。"
"The country reported zero indigenous cases for 4 consecutive years.","该国已连续4年无本地病例报告。"
"China’s success was hard-earned. The country started in the 1950s with an estimated 30 million cases of the disease annually.","中国的成功来之不易。该国在1950年代开始时，每年估计有3000万例疟疾病例。"
"The “1-3-7” strategy refers to a 1-day deadline to report a malaria diagnosis.","“1-3-7”策略指的是报告疟疾诊断的1天时限。"
"By day 3, health authorities are required to confirm a case and determine the risk of spread.","到第3天，卫生当局必须确认病例并确定传播风险。"
"And by day 7, measures must be taken to prevent further spread.","到第7天，必须采取措施防止进一步传播。"
